,healpix_5,source_id,source_id_2,ra,dec,wise_ra,wise_dec,tmass_ra,tmass_dec,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag,parallax,w1,w1_error,w2,w2_error,w3,w3_error,w4,w4_error,j,j_error,h,h_error,ks,ks_error,g,bp,rp,phot_g_mean_mag_AB,phot_bp_mean_mag_AB,phot_rp_mean_mag_AB,phot_j_mean_mag_AB,phot_h_mean_mag_AB,phot_ks_mean_mag_AB,phot_w1_mean_mag_AB,phot_w2_mean_mag_AB,phot_w3_mean_mag_AB,phot_w4_mean_mag_AB
0,0,0,0,45.13985027406964,1.1471148178865562,45.13985027406964,1.1471148178865562,45.13985027406964,1.1471148178865562,4.956766597976084,4.6313206629489905,4.252937859626735,0.0,37.51698456173109,0.0,21.338448505907806,0.0,5.420214421909719,0.0,12.570952532762343,0.0,96.27866191994117,0.0,100.69817342935545,0.0,77.19213281375475,0.0,50.988441169738884,37.78273226547588,72.24783811464376,4.6313206629489905,4.956766597976084,4.252937859626735,3.9411748854405895,3.89244601767619,4.181067398437767,4.964430188580819,5.577092902042012,7.064958831435296,6.15157953369892
1,1,1,1,46.36123185155462,2.2117234032593465,46.36123185155462,2.2117234032593465,46.36123185155462,2.2117234032593465,4.816650191178991,4.498888620318995,4.130355377893299,0.0,35.68205956731397,0.0,21.370407998335555,0.0,5.871594474355595,0.0,17.09371896700192,0.0,98.9222809822682,0.0,101.43105974810027,0.0,72.11949010216779,0.0,57.602926988536794,42.98727577564194,80.88311131808675,4.498888620318995,4.816650191178991,4.130355377893299,3.9117646952281424,3.8845725924939583,4.254868381198191,5.018875215272788,5.575467965795454,6.97810986724603,5.817908601077275
2,2,2,2,43.66861348097754,2.2456651132021883,43.66861348097754,2.2456651132021883,43.66861348097754,2.2456651132021883,4.76563415999753,4.503961175617153,4.141948069459598,0.0,39.76146190801734,0.0,22.745059001685995,0.0,5.617192150012013,0.0,11.892653771418406,0.0,101.53693770074304,0.0,110.9042634705634,0.0,82.43486062915541,0.0,57.33443402656397,45.05534670777686,80.02409515648846,4.503961175617153,4.76563415999753,4.141948069459598,3.883439847052884,3.7876293950836235,4.109722729943532,4.901344140735025,5.507782330633821,7.0262017993702655,6.211803061164573
3,3,3,3,44.76414905623307,3.5702100810925024,44.76414905623307,3.5702100810925024,44.76414905623307,3.5702100810925024,5.1123379459223175,4.883676060253223,4.596104867328765,0.0,21.531156707810673,0.0,11.610216441364162,0.0,4.1636433814897655,0.0,14.515729286232443,0.0,62.241578313285544,0.0,59.31908135988812,0.0,43.979504578288385,0.0,40.41378957806977,32.73895565205333,52.66936144459258,4.883676060253223,5.1123379459223175,4.596104867328765,4.414798507749175,4.467013958144063,4.79187416800466,5.567331595398864,6.237899209823694,7.351316187867504,5.995402849627267
4,4,4,4,47.731956401843625,3.517737511875027,47.731956401843625,3.517737511875027,47.731956401843625,3.517737511875027,5.396500274377711,5.16096284702259,4.871317782973004,0.0,16.020463322653733,0.0,8.654866815473842,0.0,3.5865641618966846,0.0,15.30058046861449,0.0,47.61576449826277,0.0,44.90297358426035,0.0,32.78659333214363,0.0,31.30508311618132,25.199962252778597,40.876423198967,5.16096284702259,5.396500274377711,4.871317782973004,4.705623096080549,4.769312245015378,5.110759265120738,5.888312319948719,6.556849027082626,7.513303488602498,5.938230231855645
5,5,5,5,49.11804320119837,4.788003860359138,49.11804320119837,4.788003860359138,49.11804320119837,4.788003860359138,5.460072623346907,5.157416599572618,4.804852829056419,0.0,19.47303754467522,0.0,10.591016248175258,0.0,3.8543724353060242,0.0,14.858524224580274,0.0,55.22466823977736,0.0,54.532890776226765,0.0,40.17573742927827,0.0,31.4074994016239,23.766813084835086,43.456912578469975,5.157416599572618,5.460072623346907,4.804852829056419,4.544667211143211,4.5583536996263545,4.890090357442839,5.676415747034881,6.337655914226229,7.4351158080211475,5.970060808361385
6,6,6,6,46.39874527454886,4.905882707888157,46.39874527454886,4.905882707888157,46.39874527454886,4.905882707888157,5.20933841777344,4.9326691297252285,4.596077630205882,0.0,25.068039835829882,0.0,14.09157023214412,0.0,4.629045192180876,0.0,16.228574761250265,0.0,67.93030692773009,0.0,67.28818071492537,0.0,50.787306602721934,0.0,38.6306795721788,29.940884980101945,52.67068274147631,4.9326691297252285,5.20933841777344,4.596077630205882,4.3198410578585875,4.33015303413085,4.635612046122634,5.402199059576394,6.027601526247294,7.236271448227153,5.874299048632755
7,7,7,7,47.97290930802027,6.374750935137736,47.97290930802027,6.374750935137736,47.97290930802027,6.374750935137736,4.993788652729171,4.544733299587894,4.074432334018714,0.0,131.03721213407516,0.0,73.85513784593626,0.0,7.112246225689148,0.0,16.172830756770303,0.0,110.26580826171514,0.0,122.52831969992226,0.0,97.52757575249171,0.0,55.22130683270639,36.516112711232445,85.15831633052588,4.544733299587894,4.993788652729171,4.074432334018714,3.793897836879885,3.679408805433006,3.9271814273206918,3.6065133881591382,4.229048217348463,6.769983041298542,5.878034895433702
8,8,8,8,42.36383949850216,3.5320000503193354,42.36383949850216,3.5320000503193354,42.36383949850216,3.5320000503193354,5.284960712516578,5.033195600648293,4.685180582776622,0.0,20.9413957989674,0.0,11.466458102405715,0.0,3.6375744873465634,0.0,11.011975276529936,0.0,59.06227028562923,0.0,57.893490116014625,0.0,42.79557980503849,0.0,35.21451892381254,27.926448915701748,48.52077922912677,5.033195600648293,5.284960712516578,4.685180582776622,4.47172465817629,4.493425670372281,4.821502713297378,5.59748593706475,6.251426778727471,7.497970261948171,6.295336930828142
9,9,9,9,43.88851112925163,4.6773368421307095,43.88851112925163,4.6773368421307095,43.88851112925163,4.6773368421307095,4.901182598694442,4.281692396562771,3.642315594964507,0.0,911.8200500926157,0.0,257.5028256554868,0.0,16.859093476264214,0.0,16.128786131195035,0.0,278.7689733245064,0.0,375.8520407351383,0.0,308.22861498266735,0.0,70.35954808936584,39.767378285794095,126.7867186337001,4.281692396562771,4.901182598694442,3.642315594964507,2.7868889109382193,2.46245771838971,2.6778176130041134,1.5002271557221585,2.87304500238365,5.8329144534064055,5.880995792060947
