ra dec mag_bp_ab mag_g_ab mag_rp_ab mag_j_ab mag_h_ab mag_ks_ab mag_w1_ab mag_w2_ab mag_w3_ab mag_w4_ab
2.0965333 29.090828 1.9686614 2.205 1.9540436 1.2352208 0.9127498 0.38282618    
2.2920403 59.15022 2.3033848 2.405        
3.3089583 15.183616 2.6833074 2.905 2.827683 2.6062207 2.2637498 1.9298261 0.018999936 0.03900002 -1.5770001 -3.06
6.413342 -77.255035 2.9143996 2.905        
6.5702806 -42.305122 2.633147 2.505        
9.8316555 30.861225 3.5583475 3.405 2.5477297 0.09222079 -0.9712501 -1.3731738 -4.33 -4.147 -4.825 -6.248
10.126614 56.53741 2.4991062 2.305 1.5577099 -0.5827792 -1.5842501 -2.143174 -4.119 -1.506 -5.387 -6.955
10.896785 -17.986685 2.2540505 2.105 1.424733 -0.5237792 -1.5932502 -2.114174    
14.177088 60.71675 2.0462747 2.205 1.9307538 1.1452209 0.6187499 -0.08417382 -3.611 -3.676 -4.812 -6.907
17.43249 35.62083 2.450249 2.205 1.1554587 -1.8507792 -3.0482502 -3.686174    
21.452513 60.235405 2.617741 2.805 2.4523444 1.4422208 0.99275 0.40482602    
22.091423 -43.31773 3.7801042 3.505 2.5248108 -0.28277922 -1.69825 -2.337174    
24.428131 -57.23666 0.31285575 0.605 0.42805383 -0.07877921 -0.5092501 -0.96017385 -4.266 -4.094 -4.101 -5.645
28.659788 20.8083 2.599233 2.705 2.3792572 1.4462208 0.97674996 0.4298261 -1.893 -2.072 -2.727 -4.249
29.691133 -61.569923 2.8565304 3.005        
30.974663 42.32985 2.4187822 2.205 1.39845 -0.9117792 -2.20825 -2.7011738 -0.5170001 -2.2380002 -5.847 -7.554
31.792858 23.462778 2.2634368 2.105 1.2782655 -1.0897793 -2.12325 -2.623174    
32.385506 34.987392 2.9517734 3.105 2.7787397 1.8442208 1.3937498 0.83782613    
34.836613 -2.9770606 6.6682363 6.605 4.4750657 -1.6257792 -2.94825 -4.053174    
37.946148 89.26414 2.0697706 2.105 1.5347131 -0.098779194 -0.9142501 -1.3841739 -4.64 -4.805 -4.59 -6.052
44.565483 -40.304733 2.828193 3.005 2.5770404 1.3512207 0.7847498 0.25382623 -1.793 -2.479 -2.875 -4.084
45.569912 4.0899253 2.9363616 2.605 1.5127605 -1.6157792 -2.98125 -3.663174 0.91200006 -1.687 -6.5889997 -8.481
46.199127 53.50645 3.033641 3.005 2.415305 0.7262208 -0.3712501 -0.7551738 -4.412 -4.314 -4.257 -5.734
46.29374 38.840534 3.6859264 3.405 2.0909889 -1.6727792 -3.0492501 -3.744174    
47.042206 40.95565 1.9991047 2.205 1.9103104 1.0662209 0.57374984 0.05382619 -2.71 -3.095 -3.271 -4.838
49.87904 -21.757942 4.0915875 3.805 2.5398977 -1.0837792 -2.3512502 -2.9571738 -1.76 -2.454 -6.206 -8.04
51.08062 49.861244 1.8435214 1.905 1.3955257 -0.06377923 -0.9612501 -1.3201739 -4.71 -4.787 -4.658 -6.116
55.731174 47.787655 2.8827024 3.105 2.908387 2.3452208 2.0177498 1.4158262 0.72599995 -0.3369999 -1.773 -3.2989998
56.8093 -74.23924 3.6444263 3.405 2.334239 -0.7327792 -2.22525 -2.8651738 -0.41900003 -1.816 -5.95 -7.737
56.8711 24.105242 2.734339 3.005 2.703841 1.8412207 1.3607498 0.7958261    
58.532993 31.883657 2.8308613 2.905 2.5953014 1.7082208 1.24675 0.7628261 -1.077 -2.05 -2.4950001 -4.073
59.46342 40.010273 2.7506223 3.005 2.889125 2.5572207 2.2207499 1.8728262 0.8779999 -0.1659999 -1.575 -3.0349998
59.50721 -13.5082445 3.3538296 3.105 2.096863 -0.79077923 -2.13625 -2.7931738 -4.404 -6.0 -5.97 -7.733
68.98 16.509762 1.2389104 1.005 -0.028497204 -2.9887793 -4.14925 -4.884174    
69.19032 -62.07698 5.947572 5.705 3.3111134 -3.5457792 -5.1062503 -6.067174    
74.2484 33.166134 3.044588 2.805 1.8398199 -0.92477924 -2.05025 -2.6841738 -4.182 -6.005 -5.688 -7.378
75.492226 43.823315 3.1002307 3.105 2.5567093 0.9862208 0.3277499 -0.30717388 -2.249 -3.367 -3.451 -5.244
76.36522 -22.370857 3.5356367 3.305 2.3944218 -0.2137792 -1.3992501 -2.045174 -4.2669997 -5.479 -5.266 -6.929
76.96264 -5.0862627 2.7380393 2.905 2.561143 1.5762209 1.0647498 0.55682623 -1.704 -2.356 -2.692 -4.22
78.63446 -8.201639 0.08104857 0.305 0.048091825 -0.6877792 -1.19825 -1.6271739 -4.832 -5.021 -5.104 -6.675
79.172066 45.99903 0.22721313 0.205        
81.28278 6.3497343 1.4831625 1.705 1.5886075 1.2552208 0.98275 0.53482616 -1.708 -2.479 -2.681 -4.245
81.57291 28.607874 1.5212104 1.705 1.5125272 0.9612208 0.5067499 0.1638261    
82.06136 -20.759232 2.9607937 2.905 2.285028 0.5092208 -0.37325007 -0.8931738 -4.401 -4.436 -4.327 -5.771
83.00166 -0.2990934 2.1077833 2.305 2.1873138 1.8502208 1.6067499 1.1828262 0.2629999 -0.68799996 -2.224 -3.8669999
83.182556 -17.822292 2.5529585 2.705 2.2990365 1.1362208 0.48274988 -0.08417382 -2.637 -3.451 -3.305 -4.8459997
83.85825 -5.9098997 2.5973399 2.905 2.8250952 2.5962207 2.2737498 1.9118263 0.755 -0.42599988 -1.638 -3.1369998
84.05338 -1.2019173 1.545098 1.805 1.6735985 1.2972208 1.0337499 0.43282613 -1.748 -3.109 -2.986 -4.7469997
84.41119 21.142593 2.8358395 3.105 2.846798 2.1072206 1.6727499 0.96782625 -0.75 -1.9219999 -3.4229999 -5.495
84.91225 -34.07405 2.5241942 2.705 2.4734519 1.8102208 1.44075 0.9898261 -0.924 -1.722 -2.922 -5.1549997
85.18969 -1.9425784 1.5906222 1.805 1.6875725 1.3512207 0.97474986 0.5618261 -1.88 -2.527 -3.394 -5.198
86.93912 -9.669601 1.9298719 2.205 2.0420277 1.575221 1.31175 0.83882606 -1.059 -2.05 -2.627 -4.258
87.73981 -35.76929 3.371945 3.205        
88.79287 7.4070363 0.80757195 0.605 -0.55633295 -3.8827794 -5.38125 -6.2181735 -4.072 -1.592 -7.68 -11.6
89.88237 44.947433 1.8329754 2.005 1.7092754 0.8622208 0.38574988 -0.062173866 -2.956 -3.367 -3.169 -4.726
89.93016 37.212765 2.5352345 2.705 2.3906434 1.4902209 1.01675 0.55682623 -1.048 -2.083 -2.405 -3.826
93.71957 22.506824 3.69741 3.405 2.1044452 -1.6207792 -2.88925 -3.564174 -2.126 -5.3980002 -6.413 -8.311
95.67495 -17.955917 1.8183885 2.105 1.9671291 1.5722209 1.2937499 0.93482625 -0.819 -1.0139999 -2.309 -3.8349998
95.73996 22.513851 3.263676 3.005 1.7600822 -1.8057792 -2.9822502 -3.702174 -0.80999994 -2.915 -6.761 -8.698
95.98788 -52.695717 -0.66106546 -0.495 -0.9007048 -2.0627792 -2.6542501 -3.1441739 -1.028 -2.162 -6.205 -7.954
99.427925 16.399414 1.8402983 2.005 1.7022884 0.83522075 0.46174985 0.07682619 -3.026 -3.356 -3.125 -4.737
100.98304 25.131155 3.380871 3.205 2.3736074 -0.00777923 -1.1422501 -1.7151738 -4.905 -5.341 -5.182 -6.569
101.28854 -16.713142 -1.5273147 -1.295        
102.4839 -50.6144 3.2101462 3.005 2.2737541 0.17922075 -0.9152501 -1.5041739 -4.62 -4.364 -4.886 -6.376
104.65644 -28.97209 1.3470416 1.605 1.4699757 1.0832208 0.7837499 0.381826 -2.378 -2.729 -2.946 -4.473
105.4298 -27.934841 3.9159012 3.605 2.5800424 -0.35577923 -1.6002501 -2.261174 -4.263 -4.98 -5.625 -7.387
105.75614 -23.833302 2.9070246 3.105 2.9329705 2.4402208 1.90075 1.5018262 0.5749999 -0.49600005 -2.048 -3.6939998
107.09786 -26.393208 1.9402139 1.905 1.3802578 -0.12277918 -0.8372501 -1.3871739 -4.863 -4.8320003 -4.809 -6.426
