,Target,ArchiveTarget,description,category,RA,DEC,WFIPA_off,V3PA_off,V3PA_ori,CAR,Region,Target_Source,RA_Source,Dec_Source,MPA_ThetaX,MPA_ThetaY,N_FRAME,N_EXP,N_FILT,Filter,MA Table,Resultant
0,SCA14_vertical_001,SCA14_vertical_001,Stray light test,Calibration,206.76370387676528,49.02791528774051,82.67953710251396,142.67953710251396,142.77004617106255,171.1,Outer PSF,EtaUma,206.88515734206297,49.31326672942533,0.273,0.1149,55,2,1,F158,IM_171_10,10
1,SCA14_horizontal_002,SCA14_horizontal_002,Stray light test,Calibration,206.7002234363141,49.09172074427567,82.63125079442796,142.63125079442796,142.77004617106255,171.1,Outer PSF,EtaUma,206.88515734206297,49.31326672942533,0.2044,0.148,55,2,1,F158,IM_171_10,10
2,SCA5_vertical_003,SCA5_vertical_003,Stray light test,Calibration,206.65644858216544,49.567698728923084,82.59622465145475,142.59622465145475,142.77004617106255,171.1,Outer PSF,EtaUma,206.88515734206297,49.31326672942533,-0.2713,0.1151,55,2,1,F158,IM_171_10,10
3,SCA5_horizontal_004,SCA5_horizontal_004,Stray light test,Calibration,206.61969549841064,49.49531373303607,82.56853325675297,142.56853325675297,142.77004617106255,171.1,Outer PSF,EtaUma,206.88515734206297,49.31326672942533,-0.2026,0.1481,55,2,1,F158,IM_171_10,10
4,SCA14_cen_005,SCA14_cen_005,Stray light test,Calibration,219.39740381225792,53.8258673225463,94.33910087767049,154.3391008776705,154.47232837685834,171.1,Inner PSF,HD128998,219.56342300701,54.02334039339999,0.2044,0.0823,55,2,1,F158,IM_171_10,10
5,SCA5_cen_006,SCA5_cen_006,Stray light test,Calibration,219.44974939991286,54.2318027508744,94.38014293645676,154.38014293645676,154.47232837685834,171.1,Inner PSF,HD128998,219.56342300701,54.02334039339999,-0.2027,0.0825,55,2,1,F158,IM_171_10,10
6,SCA14_vertical_007,SCA14_vertical_007,Stray light test,Calibration,206.76370387676528,49.02791528774051,82.67953710251396,142.67953710251396,142.77004617106255,171.1,Outer PSF,EtaUma,206.88515734206297,49.31326672942533,0.273,0.1149,55,2,8,Each ,IM_171_10,10
7,SCA14_horizontal_008,SCA14_horizontal_008,Stray light test,Calibration,206.7002234363141,49.09172074427567,82.63125079442796,142.63125079442796,142.77004617106255,171.1,Outer PSF,EtaUma,206.88515734206297,49.31326672942533,0.2044,0.148,55,2,8,Each ,IM_171_10,10
8,SCA5_vertical_009,SCA5_vertical_009,Stray light test,Calibration,206.65644858216544,49.567698728923084,82.59622465145475,142.59622465145475,142.77004617106255,171.1,Outer PSF,EtaUma,206.88515734206297,49.31326672942533,-0.2713,0.1151,55,2,8,Each ,IM_171_10,10
9,SCA5_horizontal_010,SCA5_horizontal_010,Stray light test,Calibration,206.61969549841064,49.49531373303607,82.56853325675297,142.56853325675297,142.77004617106255,171.1,Outer PSF,EtaUma,206.88515734206297,49.31326672942533,-0.2026,0.1481,55,2,8,Each ,IM_171_10,10
10,SCA14_cen_011,SCA14_cen_011,Stray light test,Calibration,219.39740381225792,53.8258673225463,94.33910087767049,154.3391008776705,154.47232837685834,171.1,Inner PSF,HD128998,219.56342300701,54.02334039339999,0.2044,0.0823,55,2,8,Each ,IM_171_10,10
11,SCA5_cen_012,SCA5_cen_012,Stray light test,Calibration,219.44974939991286,54.2318027508744,94.38014293645676,154.38014293645676,154.47232837685834,171.1,Inner PSF,HD128998,219.56342300701,54.02334039339999,-0.2027,0.0825,55,2,8,Each ,IM_171_10,10
12,OUT_pos_1_a_013,OUT_pos_1_a_013,Stray light test,Calibration,88.23938768241827,-48.53277317761877,98.22514198825647,158.22514198825647,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-3.7,5.27,55,4,1,F158,IM_193_11,11
13,OUT_pos_1_b_014,OUT_pos_1_b_014,Stray light test,Calibration,86.31433202954827,-55.78961179315671,100.27424017134857,160.27424017134857,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,3.7,5.27,55,4,1,F158,IM_193_11,11
14,OUT_pos_1_c_015,OUT_pos_1_c_015,Stray light test,Calibration,93.20664533453849,-58.65779842740632,94.83841053235335,154.83841053235335,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,6.05,1.18,55,4,1,F158,IM_193_11,11
15,OUT_pos_1_d_016,OUT_pos_1_d_016,Stray light test,Calibration,104.68455932552735,-55.02936936602448,85.18359218153768,145.18359218153768,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,2.45,-5.07,55,4,1,F158,IM_193_11,11
16,OUT_pos_1_e_017,OUT_pos_1_e_017,Stray light test,Calibration,104.0673677518411,-50.171613316372344,85.98838459072371,145.9883845907237,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-2.45,-5.07,55,4,1,F158,IM_193_11,11
17,OUT_pos_1_f_018,OUT_pos_1_f_018,Stray light test,Calibration,94.64784294516433,-46.593170131837965,93.47214669975793,153.47214669975793,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-6.05,1.18,55,4,1,F158,IM_193_11,11
18,OUT_pos_2_a_019,OUT_pos_2_a_019,Stray light test,Calibration,86.50627520524606,-50.073641415054546,99.60996635121396,159.60996635121396,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-2.0,6.15,55,4,1,F158,IM_193_11,11
