,SCA,xmid,ymid,ramid,decmid,xmin,ymin,xmax,ymax,straylight_total,mainoffender_total
0,1,255,255,206.4582958558834,49.17648167135861,0,0,511,511,0.0021077655,4492
1,1,255,766,206.47919654554272,49.16949430211003,0,511,511,1022,0.0021102503,4492
2,1,255,1277,206.50009134250766,49.16250315956412,0,1022,511,1533,0.002068206,4492
3,1,255,1788,206.52098024371446,49.155508246715094,0,1533,511,2044,0.002164623,4492
4,1,255,2299,206.54186324610743,49.148509566559035,0,2044,511,2555,0.0020882534,4492
5,1,255,2810,206.5627403466389,49.141507122094026,0,2555,511,3066,0.002080709,4492
6,1,255,3321,206.58361154226915,49.1345009163199,0,3066,511,3577,0.0020486896,4492
7,1,255,3832,206.60447682996647,49.12749095223847,0,3577,511,4088,0.002016269,4492
8,1,766,255,206.46930922093924,49.19037118992011,511,0,1022,511,0.002051617,594
9,1,766,766,206.49021422811285,49.18338183409586,511,511,1022,1022,0.0020212852,4492
10,1,766,1277,206.5111133367875,49.17638870369055,511,1022,1022,1533,0.0020278962,4492
11,1,766,1788,206.53200654390042,49.16939180170044,511,1533,1022,2044,0.0020645706,4492
12,1,766,2299,206.55289384639693,49.16239113112383,511,2044,1022,2555,0.0020816165,4492
13,1,766,2810,206.5737752412303,49.15538669496091,511,2555,1022,3066,0.0020958798,4492
14,1,766,3321,206.5946507253618,49.1483784962136,511,3066,1022,3577,0.002067647,4492
15,1,766,3832,206.61552029576066,49.141366537885844,511,3577,1022,4088,0.0020702372,4492
16,1,1277,255,206.48032877560692,49.20425966592135,1022,0,1533,511,0.0020280415,4492
17,1,1277,766,206.50123810030084,49.19726832265037,1022,511,1533,1022,0.0020384744,4492
18,1,1277,1277,206.52214152068558,49.19027320351526,1022,1022,1533,1533,0.0021225745,4492
19,1,1277,1788,206.54303903369936,49.183274311514545,1022,1533,1533,2044,0.0020623507,4492
20,1,1277,2299,206.5639306362884,49.1762716496486,1022,2044,1533,2555,0.0020614897,4492
