,Activity name,CAR,Region,Lite?,Possible descope,MPA_ThetaX,MPA_ThetaY,Target source,N_FRAME,N_EXP,N_FILT,Time,Filter(s),Notes
0,SCA14_vertical,171.1,Outer PSF,TRUE,FALSE,0.273,0.1149,Canopus,55,2,1,8.8,F158,Risk reduction
1,SCA14_horizontal,171.1,Outer PSF,TRUE,FALSE,0.2044,0.148,Canopus,55,2,1,8.8,F158,Risk reduction
2,SCA5_vertical,171.1,Outer PSF,TRUE,FALSE,-0.2713,0.1151,Canopus,55,2,1,8.8,F158,Risk reduction
3,SCA5_horizontal,171.1,Outer PSF,TRUE,FALSE,-0.2026,0.1481,Canopus,55,2,1,8.8,F158,Risk reduction
4,SCA14_cen,171.1,Inner PSF,TRUE,FALSE,0.2044,0.0823,Canopus,55,2,1,8.8,F158,Risk reduction
5,SCA5_cen,171.1,Inner PSF,TRUE,FALSE,-0.2027,0.0825,Canopus,55,2,1,8.8,F158,Risk reduction
6,SCA14_vertical,171.1,Outer PSF,TRUE,FALSE,0.273,0.1149,Canopus,55,2,8,47.3,Each ,Each filter to look for ghosts
7,SCA14_horizontal,171.1,Outer PSF,TRUE,FALSE,0.2044,0.148,Canopus,55,2,8,47.3,Each ,
8,SCA5_vertical,171.1,Outer PSF,TRUE,FALSE,-0.2713,0.1151,Canopus,55,2,8,47.3,Each ,
9,SCA5_horizontal,171.1,Outer PSF,TRUE,FALSE,-0.2026,0.1481,Canopus,55,2,8,47.3,Each ,
10,SCA14_cen,171.1,Inner PSF,TRUE,FALSE,0.2044,0.0823,Canopus,55,2,8,47.3,Each ,
11,SCA5_cen,171.1,Inner PSF,TRUE,FALSE,-0.2027,0.0825,Canopus,55,2,8,47.3,Each ,
12,OUT_pos_1_a,171.2,Outer stray,TRUE,FALSE,-3.7,5.27,Canopus,55,4,1,14.3,F158,Secondary mirror leg - 1
13,OUT_pos_1_b,171.2,Outer stray,TRUE,FALSE,3.7,5.27,Canopus,55,4,1,14.3,F158,Secondary mirror leg - 2
14,OUT_pos_1_c,171.2,Outer stray,TRUE,FALSE,6.05,1.18,Canopus,55,4,1,14.3,F158,Secondary mirror leg - 3
15,OUT_pos_1_d,171.2,Outer stray,TRUE,FALSE,2.45,-5.07,Canopus,55,4,1,14.3,F158,Secondary mirror leg - 4
16,OUT_pos_1_e,171.2,Outer stray,TRUE,FALSE,-2.45,-5.07,Canopus,55,4,1,14.3,F158,Secondary mirror leg - 5
17,OUT_pos_1_f,171.2,Outer stray,TRUE,FALSE,-6.05,1.18,Canopus,55,4,1,14.3,F158,Secondary mirror leg - 6
18,OUT_pos_2_a,171.2,Outer stray,TRUE,FALSE,-2.0,6.15,Canopus,55,4,1,14.3,F158,Rogue path central lobe - 1
19,OUT_pos_2_b,171.2,Outer stray,TRUE,FALSE,2.0,6.15,Canopus,55,4,1,14.3,F158,Rogue path central lobe - 2
20,OUT_pos_3_a,171.2,Outer stray,TRUE,FALSE,-1.3,1.0,Canopus,55,4,1,14.3,F158,Inner ring - 1
21,OUT_pos_3_b,171.2,Outer stray,TRUE,FALSE,1.3,1.0,Canopus,55,4,1,14.3,F158,Inner ring - 2
22,IN_pos_4_a,171.2,Outer stray,TRUE,FALSE,-0.0688,-0.0312,Canopus,55,4,1,14.3,F158,Center lightshield SCA1
23,IN_pos_4_b,171.2,Outer stray,TRUE,FALSE,0.0688,-0.0312,Canopus,55,4,1,14.3,F158,Center lightshield SCA10
