Activity name,CAR,Region,Lite?,Possible descope,MPA_ThetaX,MPA_ThetaY,Target source,N_FRAME,N_EXP,N_FILT,Time [min],Filter(s),Notes
SCA14_vertical,171.1,Outer PSF,TRUE,FALSE,0.27300557,0.11486665,Eta Uma,55,2,1,8.8,F158,Risk reduction
SCA14_horizontal,171.1,Outer PSF,TRUE,FALSE,0.20439766,0.14797035,Eta Uma,55,2,1,8.8,F158,Risk reduction
SCA5_vertical,171.1,Outer PSF,TRUE,FALSE,-0.27126788,0.11506719,Eta Uma,55,2,1,8.8,F158,Risk reduction
SCA5_horizontal,171.1,Outer PSF,TRUE,FALSE,-0.20263797,0.14811998,Eta Uma,55,2,1,8.8,F158,Risk reduction
SCA14_cen,171.1,Inner PSF,TRUE,FALSE,0.20439984,0.08233603,HD128998,55,2,1,8.8,F158,Risk reduction
SCA5_cen,171.1,Inner PSF,TRUE,FALSE,-0.20268039,0.08248624,HD128998,55,2,1,8.8,F158,Risk reduction
SCA14_vertical,171.1,Outer PSF,FALSE,FALSE,0.27300557,0.11486665,Eta Uma,55,2,8,47.3,Each ,Each filter to look for ghosts
SCA14_horizontal,171.1,Outer PSF,FALSE,FALSE,0.20439766,0.14797035,Eta Uma,55,2,8,47.3,Each ,
SCA5_vertical,171.1,Outer PSF,FALSE,FALSE,-0.27126788,0.11506719,Eta Uma,55,2,8,47.3,Each ,
SCA5_horizontal,171.1,Outer PSF,FALSE,FALSE,-0.20263797,0.14811998,Eta Uma,55,2,8,47.3,Each ,
SCA14_cen,171.1,Inner PSF,FALSE,FALSE,0.20439984,0.08233603,HD128998,55,2,8,47.3,Each ,
SCA5_cen,171.1,Inner PSF,FALSE,FALSE,-0.20268039,0.08248624,HD128998,55,2,8,47.3,Each ,
