# RA, Dec
00 07 14.3070,-36 09 21.01
00 18 55.8535,-35 28 51.53
00 30 37.3999,-34 48 22.06
00 42 18.9463,-34 07 52.60
00 54 0.4929,-33 27 23.12
01 05 42.0393,-32 46 53.65
01 17 23.5854,-32 06 24.18
01 29 5.1323,-31 25 54.71
01 40 46.6787,-30 45 25.24
01 52 28.2251,-30 04 55.77
02 04 9.7715,-29 24 26.29
02 15 51.3179,-28 43 56.82
02 27 32.8643,-28 03 27.35
02 39 14.4111,-27 22 57.88
02 50 55.9570,-26 42 28.41
03 02 37.5039,-26 01 58.94
00 09 59.8710,-39 08 38.06
00 21 41.4175,-38 28 8.58
00 33 22.9639,-37 47 39.11
00 45 4.5103,-37 07 9.64
00 56 46.0569,-36 26 40.17
01 08 27.6030,-35 46 10.69
01 20 9.1499,-35 05 41.22
01 31 50.6963,-34 25 11.75
01 43 32.2427,-33 44 42.28
01 55 13.7891,-33 04 12.81
02 06 55.3354,-32 23 43.34
02 18 36.8818,-31 43 13.87
02 30 18.4287,-31 02 44.40
02 41 59.9746,-30 22 14.93
02 53 41.5215,-29 41 45.45
03 05 23.0674,-29 01 15.98
00 24 26.9814,-41 27 25.63
00 36 8.5278,-40 46 56.16
00 47 50.0742,-40 06 26.69
00 59 31.6208,-39 25 57.22
01 11 13.1670,-38 45 27.74
01 22 54.7139,-38 04 58.27
01 34 36.2603,-37 24 28.80
01 46 17.8066,-36 43 59.33
01 57 59.3530,-36 03 29.85
02 09 40.8994,-35 23 0.38
02 21 22.4463,-34 42 30.91
02 33 3.9922,-34 02 1.44
02 44 45.5391,-33 21 31.97
02 56 27.0850,-32 41 2.50
03 08 8.6318,-32 00 33.03
03 19 50.1777,-31 20 3.56
00 27 12.5454,-44 26 42.67
00 38 54.0918,-43 46 13.20
00 50 35.6382,-43 05 43.73
01 02 17.1848,-42 25 14.25
01 13 58.7310,-41 44 44.79
01 25 40.2778,-41 04 15.32
01 37 21.8242,-40 23 45.85
01 49 3.3706,-39 43 16.38
02 00 44.9170,-39 02 46.90
02 12 26.4634,-38 22 17.43
02 24 8.0098,-37 41 47.96
02 35 49.5566,-37 01 18.49
02 47 31.1025,-36 20 49.01
02 59 12.6494,-35 40 19.54
03 10 54.1953,-34 59 50.07
03 22 35.7422,-34 19 20.61
00 41 39.6558,-46 45 30.25
00 53 21.2021,-46 05 0.78
01 05 2.7488,-45 24 31.30
01 16 44.2949,-44 44 1.83
01 28 25.8418,-44 03 32.36
01 40 7.3882,-43 23 2.89
01 51 48.9346,-42 42 33.41
02 03 30.4810,-42 02 3.96
02 15 12.0273,-41 21 34.48
02 26 53.5742,-40 41 5.01
02 38 35.1201,-40 00 35.54
02 50 16.6670,-39 20 6.06
03 01 58.2129,-38 39 36.59
03 13 39.7598,-37 59 7.12
03 25 21.3057,-37 18 37.65
00 56 6.7661,-49 04 17.83
01 07 48.3127,-48 23 48.35
01 19 29.8589,-47 43 18.88
01 31 11.4058,-47 02 49.41
01 42 52.9521,-46 22 19.94
01 54 34.4985,-45 41 50.46
02 06 16.0449,-45 01 20.99
02 17 57.5918,-44 20 51.52
02 29 39.1377,-43 40 22.05
02 41 20.6846,-42 59 52.57
02 53 2.2305,-42 19 23.12
03 04 43.7773,-41 38 53.64
03 16 25.3232,-40 58 24.17
03 28 6.8701,-40 17 54.70
00 58 52.3303,-52 03 34.86
01 10 33.8765,-51 23 5.39
01 22 15.4233,-50 42 35.92
01 33 56.9697,-50 02 6.46
01 45 38.5161,-49 21 36.99
01 57 20.0625,-48 41 7.51
02 09 1.6089,-48 00 38.04
02 20 43.1553,-47 20 8.57
02 32 24.7021,-46 39 39.10
02 44 6.2480,-45 59 9.62
02 55 47.7949,-45 18 40.15
03 07 29.3408,-44 38 10.68
03 19 10.8877,-43 57 41.21
03 30 52.4336,-43 17 11.73
03 42 33.9805,-42 36 42.28
01 13 19.4404,-54 22 22.44
01 25 0.9873,-53 41 52.97
01 36 42.5337,-53 01 23.50
01 48 24.0801,-52 20 54.02
02 00 5.6265,-51 40 24.55
02 11 47.1729,-50 59 55.08
02 23 28.7197,-50 19 25.62
02 35 10.2656,-49 38 56.15
02 46 51.8125,-48 58 26.67
02 58 33.3584,-48 17 57.20
03 10 14.9053,-47 37 27.73
03 21 56.4512,-46 56 58.26
03 33 37.9980,-46 16 28.78
03 45 19.5449,-45 35 59.31
01 27 46.5513,-56 41 10.02
01 39 28.0977,-56 00 40.55
01 51 9.6440,-55 20 11.07
02 02 51.1904,-54 39 41.60
02 14 32.7368,-53 59 12.13
02 26 14.2832,-53 18 42.66
02 37 55.8301,-52 38 13.18
02 49 37.3760,-51 57 43.71
03 01 18.9229,-51 17 14.24
03 13 0.4688,-50 36 44.78
03 24 42.0156,-49 56 15.31
03 36 23.5615,-49 15 45.83
03 48 5.1084,-48 35 16.36
01 30 32.1152,-59 40 27.06
01 42 13.6616,-58 59 57.58
01 53 55.2080,-58 19 28.13
02 05 36.7544,-57 38 58.65
02 17 18.3008,-56 58 29.18
02 28 59.8477,-56 17 59.71
02 40 41.3936,-55 37 30.23
02 52 22.9404,-54 57 0.76
03 04 4.4863,-54 16 31.29
03 15 46.0332,-53 36 1.82
03 27 27.5791,-52 55 32.34
03 39 9.1260,-52 15 2.87
03 50 50.6729,-51 34 33.40
01 44 59.2256,-61 59 14.63
01 56 40.7720,-61 18 45.16
02 08 22.3184,-60 38 15.69
02 20 3.8652,-59 57 46.22
02 31 45.4111,-59 17 16.74
02 43 26.9580,-58 36 47.29
02 55 8.5039,-57 56 17.81
03 06 50.0508,-57 15 48.34
03 18 31.5967,-56 35 18.87
03 30 13.1436,-55 54 49.39
03 41 54.6895,-55 14 19.92
03 53 36.2363,-54 33 50.45
01 59 26.3359,-64 18 2.21
02 11 7.8823,-63 37 32.74
02 22 49.4287,-62 57 3.27
02 34 30.9756,-62 16 33.79
02 46 12.5215,-61 36 4.32
02 57 54.0684,-60 55 34.85
03 09 35.6143,-60 15 5.38
03 21 17.1611,-59 34 35.90
03 32 58.7070,-58 54 6.45
