,Target,ArchiveTarget,description,category,RA,DEC,WFIPA_off,V3PA_off,V3PA_ori
0,OUT_pos_1_a_001,OUT_pos_1_a_001,Stray light test,Calibration,88.23938768241827,-48.53277317761876,98.22514198825647,158.22514198825647,152.35596676538606
1,OUT_pos_1_b_002,OUT_pos_1_b_002,Stray light test,Calibration,86.31433202954827,-55.78961179315671,100.27424017134857,160.27424017134857,152.35596676538606
2,OUT_pos_1_c_003,OUT_pos_1_c_003,Stray light test,Calibration,93.20664533453849,-58.65779842740632,94.83841053235335,154.83841053235335,152.35596676538606
3,OUT_pos_1_d_004,OUT_pos_1_d_004,Stray light test,Calibration,104.68455932552735,-55.02936936602448,85.18359218153768,145.18359218153768,152.35596676538606
4,OUT_pos_1_e_005,OUT_pos_1_e_005,Stray light test,Calibration,104.0673677518411,-50.171613316372344,85.98838459072371,145.9883845907237,152.35596676538606
5,OUT_pos_1_f_006,OUT_pos_1_f_006,Stray light test,Calibration,94.64784294516434,-46.593170131837965,93.47214669975793,153.47214669975793,152.35596676538606
6,OUT_pos_2_a_007,OUT_pos_2_a_007,Stray light test,Calibration,86.50627520524606,-50.073641415054546,99.60996635121396,159.60996635121396,152.35596676538606
7,OUT_pos_2_b_008,OUT_pos_2_b_008,Stray light test,Calibration,85.3627008151486,-53.97538032921261,100.84108970394502,160.84108970394502,152.35596676538606
8,OUT_pos_3_a_009,OUT_pos_3_a_009,Stray light test,Calibration,94.47369094372475,-51.345932898706174,93.54754107825903,153.54754107825903,152.35596676538606
9,OUT_pos_3_b_010,OUT_pos_3_b_010,Stray light test,Calibration,94.19902124789664,-53.93989751902855,93.80559014424503,153.80559014424503,152.35596676538606
10,IN_pos_4_a_011,IN_pos_4_a_011,Stray light test,Calibration,96.04397497113908,-52.628188748535216,92.31118689789812,152.31118689789812,152.35596676538606
11,IN_pos_4_b_012,IN_pos_4_b_012,Stray light test,Calibration,96.03480378051869,-52.76567658307744,92.31872364138539,152.3187236413854,152.35596676538606
12,IN_pos_5_a_013,IN_pos_5_a_013,Stray light test,Calibration,96.00303999430577,-52.55792091300406,92.34374322808648,152.34374322808648,152.35596676538606
13,IN_pos_5_b_014,IN_pos_5_b_014,Stray light test,Calibration,95.98650488076223,-52.83374203793115,92.35747319752704,152.35747319752704,152.35596676538606
14,SCAN_RCHANNEL_015,SCAN_RCHANNEL_015,Stray light test,Calibration,88.71597612365193,-48.072425790661114,97.85381586134639,157.8538158613464,152.35596676538606
15,SCAN_RCHANNEL_016,SCAN_RCHANNEL_016,Stray light test,Calibration,88.5078443579604,-48.22204991060156,98.01320572054192,158.01320572054192,152.35596676538606
16,SCAN_RCHANNEL_017,SCAN_RCHANNEL_017,Stray light test,Calibration,88.2997888952725,-48.37034989877669,98.17314877345893,158.17314877345893,152.35596676538606
17,SCAN_RCHANNEL_018,SCAN_RCHANNEL_018,Stray light test,Calibration,88.08928917508322,-48.51910500401902,98.33558406005693,158.33558406005693,152.35596676538606
18,SCAN_RCHANNEL_019,SCAN_RCHANNEL_019,Stray light test,Calibration,87.87758103930553,-48.66741294478752,98.49956472169197,158.49956472169197,152.35596676538606
19,SCAN_RCHANNEL_020,SCAN_RCHANNEL_020,Stray light test,Calibration,87.66976504644066,-48.81173002643354,98.66111956945201,158.661119569452,152.35596676538606
20,SCAN_RCHANNEL_021,SCAN_RCHANNEL_021,Stray light test,Calibration,87.45176977401067,-48.961775356748575,98.83120521405709,158.8312052140571,152.35596676538606
21,SCAN_ROGUEPATH_022,SCAN_ROGUEPATH_022,Stray light test,Calibration,86.50750794362145,-50.07376936188187,99.60904800049767,159.60904800049767,152.35596676538606
22,SCAN_ROGUEPATH_023,SCAN_ROGUEPATH_023,Stray light test,Calibration,87.02594538591829,-49.55640049490662,99.18461159958542,159.18461159958542,152.35596676538606
23,SCAN_ROGUEPATH_024,SCAN_ROGUEPATH_024,Stray light test,Calibration,86.14321442598431,-50.936491774709864,99.95105971608308,159.95105971608308,152.35596676538606
24,SCAN_ROGUEPATH_025,SCAN_ROGUEPATH_025,Stray light test,Calibration,85.34108739751187,-50.77375971064336,100.54623608170999,160.54623608171,152.35596676538606
25,SCAN_ROGUEPATH_026,SCAN_ROGUEPATH_026,Stray light test,Calibration,85.92412907479464,-49.84684059510991,100.03006299075867,160.03006299075867,152.35596676538606
26,SCAN_ROGUEPATH_027,SCAN_ROGUEPATH_027,Stray light test,Calibration,86.53366862003524,-49.35136547348478,99.53859352818412,159.53859352818412,152.35596676538606
27,SCAN_ROGUEPATH_028,SCAN_ROGUEPATH_028,Stray light test,Calibration,86.60163995131457,-51.03264186631531,99.60958323356732,159.60958323356732,152.35596676538606
28,SCAN_ROGUEPATH_029,SCAN_ROGUEPATH_029,Stray light test,Calibration,87.14472851064743,-50.26850113327559,99.14216783788609,159.1421678378861,152.35596676538606
29,SCAN_ROGUEPATH_030,SCAN_ROGUEPATH_030,Stray light test,Calibration,87.61319329241081,-49.7867580104753,98.75851477418811,158.75851477418811,152.35596676538606
30,SCAN_ROGUEPATH_031,SCAN_ROGUEPATH_031,Stray light test,Calibration,85.57256401334095,-50.309310245421855,100.33137960952786,160.33137960952786,152.35596676538606
31,SCAN_ROGUEPATH_032,SCAN_ROGUEPATH_032,Stray light test,Calibration,86.3241601029344,-50.517220906788204,99.78059011214845,159.78059011214845,152.35596676538606
32,SCAN_ROGUEPATH_033,SCAN_ROGUEPATH_033,Stray light test,Calibration,86.84861531201733,-50.64266686106329,99.39254554126981,159.3925455412698,152.35596676538606
33,SCAN_ROGUEPATH_034,SCAN_ROGUEPATH_034,Stray light test,Calibration,84.71737905687831,-51.88763374507514,101.12773621811334,161.12773621811334,152.35596676538606
34,SCAN_ROGUEPATH_035,SCAN_ROGUEPATH_035,Stray light test,Calibration,85.66510266572952,-51.99550440094699,100.40892080352691,160.4089208035269,152.35596676538606
35,SCAN_ROGUEPATH_036,SCAN_ROGUEPATH_036,Stray light test,Calibration,86.15601137554633,-52.04853281694852,100.03508552871673,160.03508552871673,152.35596676538606
36,SCAN_ROGUEPATH_037,SCAN_ROGUEPATH_037,Stray light test,Calibration,85.3640356511369,-53.97552921238266,100.84005127456243,160.84005127456243,152.35596676538606
37,SCAN_ROGUEPATH_038,SCAN_ROGUEPATH_038,Stray light test,Calibration,85.59484769216431,-54.57211952966078,100.72068478940284,160.72068478940284,152.35596676538606
38,SCAN_ROGUEPATH_039,SCAN_ROGUEPATH_039,Stray light test,Calibration,85.50799062267902,-53.089414751730025,100.6357621160468,160.6357621160468,152.35596676538606
39,SCAN_ROGUEPATH_040,SCAN_ROGUEPATH_040,Stray light test,Calibration,84.62404528461633,-53.06310403919412,101.32306978125251,161.3230697812525,152.35596676538606
40,SCAN_ROGUEPATH_041,SCAN_ROGUEPATH_041,Stray light test,Calibration,84.6301567360127,-54.05683278011797,101.42861170854141,161.4286117085414,152.35596676538606
41,SCAN_ROGUEPATH_042,SCAN_ROGUEPATH_042,Stray light test,Calibration,84.95462168424903,-54.655766213535316,101.23946166542967,161.23946166542967,152.35596676538606
42,SCAN_ROGUEPATH_043,SCAN_ROGUEPATH_043,Stray light test,Calibration,86.0143154245154,-53.096277148771456,100.24068129317004,160.24068129317004,152.35596676538606
43,SCAN_ROGUEPATH_044,SCAN_ROGUEPATH_044,Stray light test,Calibration,86.12806751640409,-53.927990279737664,100.23163522917517,160.23163522917517,152.35596676538606
44,SCAN_ROGUEPATH_045,SCAN_ROGUEPATH_045,Stray light test,Calibration,86.34325546193804,-54.4782570718511,100.11547200028943,160.11547200028943,152.35596676538606
45,SCAN_ROGUEPATH_046,SCAN_ROGUEPATH_046,Stray light test,Calibration,84.56377838784782,-53.547042099526536,101.4234472797921,161.4234472797921,152.35596676538606
46,SCAN_ROGUEPATH_047,SCAN_ROGUEPATH_047,Stray light test,Calibration,85.44113789611376,-53.52086946535593,100.73183270511649,160.7318327051165,152.35596676538606
47,SCAN_ROGUEPATH_048,SCAN_ROGUEPATH_048,Stray light test,Calibration,86.03933741129751,-53.51443551035249,100.26116150338487,160.26116150338487,152.35596676538606
48,SCAN_DRAGON1_049,SCAN_DRAGON1_049,Stray light test,Calibration,96.04729290884232,-52.57822934227339,92.30849862266359,152.3084986226636,152.35596676538606
49,SCAN_DRAGON1_050,SCAN_DRAGON1_050,Stray light test,Calibration,96.0456348986157,-52.60320905601186,92.30983941731816,152.30983941731816,152.35596676538606
50,SCAN_DRAGON1_051,SCAN_DRAGON1_051,Stray light test,Calibration,96.04397497113908,-52.628188748535216,92.31118689789812,152.31118689789812,152.35596676538606
51,SCAN_DRAGON1_052,SCAN_DRAGON1_052,Stray light test,Calibration,96.04231311231389,-52.65316841954547,92.31254107639879,152.3125410763988,152.35596676538606
52,SCAN_DRAGON1_053,SCAN_DRAGON1_053,Stray light test,Calibration,96.04064930800789,-52.678148068743944,92.31390196485307,152.31390196485307,152.35596676538606
53,SCAN_DRAGON1_054,SCAN_DRAGON1_054,Stray light test,Calibration,96.04759648654812,-52.62827740806113,92.30829938540626,152.30829938540626,152.35596676538606
54,SCAN_DRAGON1_055,SCAN_DRAGON1_055,Stray light test,Calibration,96.04660879907523,-52.62825323920521,92.30908689393218,152.30908689393218,152.35596676538606
55,SCAN_DRAGON1_056,SCAN_DRAGON1_056,Stray light test,Calibration,96.04562111269132,-52.628229062088145,92.30987439861906,152.30987439861906,152.35596676538606
56,SCAN_DRAGON1_057,SCAN_DRAGON1_057,Stray light test,Calibration,96.04446881328693,-52.62820084501053,92.31079314923434,152.31079314923434,152.35596676538606
57,SCAN_DRAGON1_058,SCAN_DRAGON1_058,Stray light test,Calibration,96.04348112926371,-52.628176649994685,92.31158064560188,152.31158064560188,152.35596676538606
58,SCAN_DRAGON1_059,SCAN_DRAGON1_059,Stray light test,Calibration,96.04232883261446,-52.628148412035436,92.31249938651024,152.31249938651024,152.35596676538606
59,SCAN_DRAGON1_060,SCAN_DRAGON1_060,Stray light test,Calibration,96.04134115095367,-52.62812419912126,92.31328687455661,152.3132868745566,152.35596676538606
60,SCAN_DRAGON1_061,SCAN_DRAGON1_061,Stray light test,Calibration,96.04035347038379,-52.6280999779465,92.31407435876193,152.31407435876193,152.35596676538606
61,SCAN_DRAGON2_062,SCAN_DRAGON2_062,Stray light test,Calibration,96.00266328316565,-52.56351622876415,92.34404847688592,152.34404847688592,152.35596676538606
62,SCAN_DRAGON2_063,SCAN_DRAGON2_063,Stray light test,Calibration,95.9949625798202,-52.56052200265998,92.35018057326076,152.35018057326076,152.35596676538606
63,SCAN_DRAGON2_064,SCAN_DRAGON2_064,Stray light test,Calibration,95.99534024871362,-52.55492671192384,92.34987434264812,152.34987434264812,152.35596676538606
64,SCAN_DRAGON2_065,SCAN_DRAGON2_065,Stray light test,Calibration,96.00341660837266,-52.55232559603841,92.34343831572818,152.34343831572818,152.35596676538606
65,SCAN_DRAGON2_066,SCAN_DRAGON2_066,Stray light test,Calibration,96.0111164482549,-52.55531927063465,92.33730687090974,152.33730687090974,152.35596676538606
66,SCAN_DRAGON2_067,SCAN_DRAGON2_067,Stray light test,Calibration,96.01074079204267,-52.56091461250006,92.33761080136566,152.33761080136566,152.35596676538606
67,SCAN_DRAGON2_068,SCAN_DRAGON2_068,Stray light test,Calibration,96.00266328316565,-52.56351622876415,92.34404847688592,152.34404847688592,152.35596676538606
