,SCA,xmid,ymid,ramid,decmid,xmin,ymin,xmax,ymax,straylight_total,mainoffender_total
0,1,255,255,56.644047760574935,24.159706153694824,0,0,511,511,4.6345515e+06,1.0
1,1,255,766,56.64399300181367,24.17507564030588,0,511,511,1022,4.570982e+06,1.0
2,1,255,1277,56.64393822984335,24.19044513247444,0,1022,511,1533,4.7533985e+06,1.0
3,1,255,1788,56.64388344465922,24.205814627988563,0,1533,511,2044,4.6865505e+06,1.0
4,1,255,2299,56.64382864625646,24.221184124636327,0,2044,511,2555,4.466265e+06,1.0
5,1,255,2810,56.643773834630316,24.236553620205797,0,2555,511,3066,4.514711e+06,1.0
6,1,255,3321,56.643719009776,24.25192311248504,0,3066,511,3577,4.538926e+06,1.0
7,1,255,3832,56.643664171688705,24.267292599262127,0,3577,511,4088,4.514822e+06,1.0
8,1,766,255,56.62688142163399,24.159748127227637,511,0,1022,511,4.5474935e+06,1.0
9,1,766,766,56.62682459263951,24.175117611069446,511,511,1022,1022,4.722752e+06,1.0
10,1,766,1277,56.62676774993662,24.19048710045374,511,1022,1022,1533,4.6734495e+06,1.0
11,1,766,1788,56.62671089352037,24.205856593168583,511,1533,1022,2044,4.687975e+06,1.0
12,1,766,2299,56.626654023385775,24.221226087002055,511,2044,1022,2555,4.5350505e+06,1.0
13,1,766,2810,56.6265971395279,24.236595579742218,511,2555,1022,3066,4.4894395e+06,1.0
14,1,766,3321,56.62654024194174,24.25196506917712,511,3066,1022,3577,4.598396e+06,1.0
15,1,766,3832,56.62648333062236,24.26733455309485,511,3577,1022,4088,4.502855e+06,1.0
16,1,1277,255,56.60971506520198,24.159788180140207,1022,0,1533,511,4.7407025e+06,1.0
17,1,1277,766,56.60965616598026,24.175157659832085,1022,511,1533,1022,4.6766175e+06,1.0
18,1,1277,1277,56.609597252550806,24.19052714505134,1022,1022,1533,1533,4.523071e+06,1.0
19,1,1277,1788,56.60953832490843,24.205896633586097,1022,1533,1533,2044,4.517185e+06,1.0
20,1,1277,2299,56.609479383048004,24.221266123224403,1022,2044,1533,2555,4.5497605e+06,1.0
21,1,1277,2810,56.6094204269644,24.236635611754327,1022,2555,1533,3066,4.538537e+06,1.0
22,1,1277,3321,56.60936145665242,24.25200509696391,1022,3066,1533,3577,4.5725155e+06,1.0
23,1,1277,3832,56.60930247210697,24.267374576641245,1022,3577,1533,4088,4.566632e+06,1.0
24,1,1788,255,56.5925486943608,24.159826312419995,1533,0,2044,511,4.7460475e+06,1.0
25,1,1788,766,56.59248772491897,24.175195786581206,1533,511,2044,1022,4.452117e+06,1.0
26,1,1788,1277,56.59242674077002,24.19056526625472,1533,1022,2044,1533,4.5197295e+06,1.0
27,1,1788,1788,56.59236574190865,24.20593474922857,1533,1533,2044,2044,4.5729305e+06,1.0
28,1,1788,2299,56.5923047283295,24.221304233290848,1533,2044,2044,2555,4.4505575e+06,1.0
29,1,1788,2810,56.59224370002728,24.236673716229607,1533,2555,2044,3066,4.5710325e+06,1.0
30,1,1788,3321,56.59218265699664,24.25204319583291,1533,3066,2044,3577,4.49972e+06,1.0
31,1,1788,3832,56.59212159923225,24.26741266988881,1533,3577,2044,4088,4.4811525e+06,1.0
32,1,2299,255,56.57538231219234,24.159862524055885,2044,0,2555,511,4.6273e+06,1.0
33,1,2299,766,56.5753192725386,24.17523199130574,2044,511,2555,1022,4.652436e+06,1.0
34,1,2299,1277,56.57525621767841,24.190601464052733,2044,1022,2555,1533,4.6430495e+06,1.0
35,1,2299,1788,56.57519314760626,24.20597094008488,2044,1533,2555,2044,4.5597855e+06,1.0
36,1,2299,2299,56.57513006231663,24.22134041719027,2044,2044,2555,2555,4.4751055e+06,1.0
37,1,2299,2810,56.57506696180405,24.236709893156945,2044,2555,2555,3066,4.54597e+06,1.0
38,1,2299,3321,56.57500384606298,24.252079365773,2044,3066,2555,3577,4.451491e+06,1.0
39,1,2299,3832,56.57494071508792,24.267448832826457,2044,3577,2555,4088,4.4954485e+06,1.0
40,1,2810,255,56.55821592177851,24.159896815038035,2555,0,3066,511,4.7148335e+06,1.0
41,1,2810,766,56.5581508119222,24.1752662739959,2555,511,3066,1022,4.71195e+06,1.0
42,1,2810,1277,56.55808568636008,24.190635738435606,2555,1022,3066,1533,4.678177e+06,1.0
43,1,2810,1788,56.55802054508651,24.20600520614526,2555,1533,3066,2044,4.475641e+06,1.0
44,1,2810,2299,56.55795538809577,24.2213746749129,2555,2044,3066,2555,4.581495e+06,1.0
45,1,2810,2810,56.55789021538218,24.236744142526597,2555,2555,3066,3066,4.2760425e+06,1.0
46,1,2810,3321,56.557825026940066,24.252113606774387,2555,3066,3066,3577,4.475173e+06,1.0
47,1,2810,3832,56.55775982276369,24.267483065444395,2555,3577,3066,4088,4.2647375e+06,1.0
48,1,3321,255,56.54104952620123,24.159929185358116,3066,0,3577,511,4.781346e+06,1.0
49,1,3321,766,56.54098234615278,24.175298634643273,3066,511,3577,1022,4.760819e+06,1.0
50,1,3321,1277,56.54091514989921,24.190668089394993,3066,1022,3577,1533,4.5157115e+06,1.0
51,1,3321,1788,56.54084793743468,24.206037547401348,3066,1533,3577,2044,4.683264e+06,1.0
52,1,3321,2299,56.54078070875328,24.221407006450384,3066,2044,3577,2555,4.561912e+06,1.0
53,1,3321,2810,56.54071346384918,24.23677646433018,3066,2555,3577,3066,4.4391715e+06,1.0
54,1,3321,3321,56.540646202716474,24.2521459188288,3066,3066,3577,3577,4.4274565e+06,1.0
55,1,3321,3832,56.540578925349315,24.2675153677343,3066,3577,3577,4088,4.3297155e+06,1.0
56,1,3832,255,56.52388312854243,24.159959635009105,3577,0,4088,511,4.832252e+06,1.0
57,1,3832,766,56.52381387831341,24.17532907324089,3577,511,4088,1022,4.731705e+06,1.0
58,1,3832,1277,56.52374461137997,24.190698516923867,3577,1022,4088,1533,4.5974355e+06,1.0
59,1,3832,1788,56.523675327736036,24.20606796384613,3577,1533,4088,2044,4.5164065e+06,1.0
60,1,3832,2299,56.52360602737557,24.22143741179573,3577,2044,4088,2555,4.5029545e+06,1.0
61,1,3832,2810,56.52353671029255,24.236806858560733,3577,2555,4088,3066,4.431815e+06,1.0
62,1,3832,3321,56.52346737648087,24.252176301929204,3577,3066,4088,3577,4.5159535e+06,1.0
63,1,3832,3832,56.52339802593452,24.267545739689208,3577,3577,4088,4088,4.3395265e+06,1.0
0,2,255,255,56.64376331328656,24.01445625338306,0,0,511,511,4.778137e+06,1.0
1,2,255,766,56.643693547386114,24.02949184918882,0,511,511,1022,4.957751e+06,1.0
2,2,255,1277,56.643623765134336,24.044527450199556,0,1022,511,1533,4.76676e+06,1.0
3,2,255,1788,56.64355396652551,24.059563054344345,0,1533,511,2044,4.829593e+06,1.0
4,2,255,2299,56.64348415155387,24.07459865955229,0,2044,511,2555,4.8272685e+06,1.0
5,2,255,2810,56.64341432021367,24.089634263752465,0,2555,511,3066,4.8129145e+06,1.0
6,2,255,3321,56.643344472499145,24.104669864873973,0,3066,511,3577,4.877797e+06,1.0
7,2,255,3832,56.643274608404525,24.119705460845896,0,3577,511,4088,4.818657e+06,1.0
8,2,766,255,56.62674210870261,24.014512571048428,511,0,1022,511,4.7591925e+06,1.0
9,2,766,766,56.62667034832794,24.029548162395876,511,511,1022,1022,4.78209e+06,1.0
10,2,766,1277,56.62659857113454,24.044583758929512,511,1022,1022,1533,4.77683e+06,1.0
11,2,766,1788,56.626526777116524,24.059619358578406,511,1533,1022,2044,4.849163e+06,1.0
12,2,766,2299,56.62645496626792,24.074654959271648,511,2044,1022,2555,4.8902065e+06,1.0
13,2,766,2810,56.62638313858286,24.089690558938326,511,2555,1022,3066,4.8504865e+06,1.0
14,2,766,3321,56.62631129405542,24.104726155507546,511,3066,1022,3577,4.733551e+06,1.0
15,2,766,3832,56.62623943267965,24.11976174690836,511,3577,1022,4088,4.768387e+06,1.0
16,2,1277,255,56.609720883125114,24.014567008985033,1022,0,1533,511,4.6570495e+06,1.0
17,2,1277,766,56.60964712828396,24.02960259454623,1022,511,1533,1022,4.6885665e+06,1.0
18,2,1277,1277,56.60957335615667,24.044638185274746,1022,1022,1533,1533,4.78902e+06,1.0
19,2,1277,1788,56.609499566737206,24.05967377909967,1022,1533,1533,2044,4.9080445e+06,1.0
20,2,1277,2299,56.60942576001945,24.07470937395009,1022,2044,1533,2555,4.8225245e+06,1.0
21,2,1277,2810,56.609351935997324,24.089744967755106,1022,2555,1533,3066,4.8375385e+06,1.0
22,2,1277,3321,56.60927809466474,24.10478055844379,1022,3066,1533,3577,4.799101e+06,1.0
23,2,1277,3832,56.60920423601561,24.119816143945233,1022,3577,1533,4088,4.696651e+06,1.0
24,2,1788,255,56.592699639558404,24.014619567176815,1533,0,2044,511,4.84934e+06,1.0
25,2,1788,766,56.59262389025959,24.029655145623757,1533,511,2044,1022,4.851556e+06,1.0
26,2,1788,1277,56.592548123207244,24.044690729219155,1533,1022,2044,1533,4.9210925e+06,1.0
27,2,1788,1788,56.592472338395154,24.05972631589203,1533,1533,2044,2044,4.8104905e+06,1.0
28,2,1788,2299,56.59239653581705,24.074761903571527,1533,2044,2044,2555,4.905778e+06,1.0
29,2,1788,2810,56.59232071546668,24.08979749018669,1533,2555,2044,3066,4.7569715e+06,1.0
30,2,1788,3321,56.5922448773378,24.104833073666626,1533,3066,2044,3577,4.9817645e+06,1.0
31,2,1788,3832,56.59216902142416,24.119868651940408,1533,3577,2044,4088,4.834604e+06,1.0
32,2,2299,255,56.575678381006874,24.01467024560898,2044,0,2555,511,4.699488e+06,1.0
33,2,2299,766,56.57560063726025,24.029705815613735,2044,511,2555,1022,4.767315e+06,1.0
34,2,2299,1277,56.57552287529273,24.044741390747966,2044,1022,2555,1533,4.8600435e+06,1.0
35,2,2299,1788,56.57544509509787,24.059776968940753,2044,1533,2555,2044,4.8867385e+06,1.0
36,2,2299,2299,56.575367296669306,24.074812548121198,2044,2044,2555,2555,4.898157e+06,1.0
37,2,2299,2810,56.575289480000606,24.089848126218325,2044,2555,2555,3066,4.853926e+06,1.0
38,2,2299,3321,56.57521164508533,24.10488370116132,2044,3066,2555,3577,4.7297965e+06,1.0
39,2,2299,3832,56.575133791917104,24.11991927087917,2044,3577,2555,4088,4.8912365e+06,1.0
40,2,2810,255,56.558657110474925,24.01471904426811,2555,0,3066,511,4.6177145e+06,1.0
41,2,2810,766,56.55857737229142,24.029754604502717,2555,511,3066,1022,4.619815e+06,1.0
42,2,2810,1277,56.558497615419626,24.044790169847783,2555,1022,3066,1533,4.8782345e+06,1.0
43,2,2810,1788,56.558417839852964,24.05982573823242,2555,1533,3066,2044,4.709352e+06,1.0
44,2,2810,2299,56.55833804558489,24.07486130758568,2555,2044,3066,2555,4.6983245e+06,1.0
45,2,2810,2810,56.55825823260879,24.08989687583665,2555,2555,3066,3066,4.889376e+06,1.0
46,2,2810,3321,56.558178400918095,24.10493244091444,2555,3066,3066,3577,4.7429205e+06,1.0
47,2,2810,3832,56.55809855050622,24.119968000748113,2555,3577,3066,4088,4.771189e+06,1.0
48,2,3321,255,56.54163583096696,24.01476596314207,3066,0,3577,511,4.735818e+06,1.0
49,2,3321,766,56.54155409835854,24.02980151227858,3066,511,3577,1022,4.6103715e+06,1.0
50,2,3321,1277,56.541472346594475,24.04483706650651,3066,1022,3577,1533,4.6380485e+06,1.0
51,2,3321,1788,56.541390575668,24.059872623754917,3066,1533,3577,2044,4.874624e+06,1.0
52,2,3321,2299,56.541308785572376,24.07490818195291,3066,2044,3577,2555,4.825122e+06,1.0
53,2,3321,2810,56.541226976300926,24.089943739029547,3066,2555,3577,3066,4.7930665e+06,1.0
54,2,3321,3321,56.54114514784681,24.104979292913946,3066,3066,3577,3577,4.7683095e+06,1.0
55,2,3321,3832,56.54106330020336,24.120014841535152,3066,3577,3577,4088,4.6695815e+06,1.0
56,2,3832,255,56.52461454548741,24.014811002220096,3577,0,4088,511,4.619646e+06,1.0
57,2,3832,766,56.524530818467106,24.029846538930574,3577,511,4088,1022,4.602426e+06,1.0
58,2,3832,1277,56.524447071823786,24.044882080713347,3577,1022,4088,1533,4.7870365e+06,1.0
59,2,3832,1788,56.52436330555056,24.059917625497498,3577,1533,4088,2044,4.771662e+06,1.0
60,2,3832,2299,56.524279519640494,24.074953171212115,3577,2044,4088,2555,4.8599945e+06,1.0
61,2,3832,2810,56.52419571408671,24.08998871578628,3577,2555,4088,3066,4.843425e+06,1.0
62,2,3832,3321,56.52411188888227,24.105024257149086,3577,3066,4088,3577,4.758979e+06,1.0
63,2,3832,3832,56.5240280440203,24.1200597932296,3577,3577,4088,4088,4.7563425e+06,1.0
0,3,255,255,56.64347248615299,23.884785520475067,0,0,511,511,4.343268e+06,1.0
1,3,255,766,56.64339015297558,23.899452355403902,0,511,511,1022,4.283351e+06,1.0
2,3,255,1277,56.64330780108993,23.914119195162762,0,1022,511,1533,4.200508e+06,1.0
3,3,255,1788,56.6432254304897,23.92878603782937,0,1533,511,2044,4.4906255e+06,1.0
4,3,255,2299,56.64314304116851,23.94345288148146,0,2044,511,2555,28.595028,1.0
5,3,255,2810,56.64306063311993,23.958119724196756,0,2555,511,3066,4.5324445e+06,1.0
6,3,255,3321,56.642978206337595,23.972786564052974,0,3066,511,3577,4.682771e+06,1.0
7,3,255,3832,56.64289576081515,23.987453399127862,0,3577,511,4088,4.730555e+06,1.0
8,3,766,255,56.62661122917783,23.884854310963345,511,0,1022,511,4.1243448e+06,1.0
9,3,766,766,56.62652698050209,23.899521140043774,511,511,1022,1022,4.332612e+06,1.0
10,3,766,1277,56.62644271268297,23.914187973932624,511,1022,1022,1533,4.330944e+06,1.0
11,3,766,1788,56.626358425713896,23.928854810707676,511,1533,1022,2044,4.231456e+06,1.0
