SCA,SCAx,SCAy,Field X,Field Y
1,-17.92,-17.92,-0.013,-0.0175
1,-12.8,-17.92,-0.0287,-0.0175
1,-7.68,-17.92,-0.0443,-0.0175
1,-2.56,-17.92,-0.06,-0.0175
1,2.56,-17.92,-0.0756,-0.0174
1,7.68,-17.92,-0.0913,-0.0172
1,12.8,-17.92,-0.107,-0.0171
1,17.92,-17.92,-0.1225,-0.017
1,-17.92,-12.8,-0.0129,-0.0021
1,-12.8,-12.8,-0.0285,-0.0021
1,-7.68,-12.8,-0.0443,-0.0021
1,-2.56,-12.8,-0.06,-0.0021
1,2.56,-12.8,-0.0755,-0.0021
1,7.68,-12.8,-0.0913,-0.002
1,12.8,-12.8,-0.1069,-0.0019
1,17.92,-12.8,-0.1226,-0.0018
1,-17.92,-7.68,-0.013,0.0131
1,-12.8,-7.68,-0.0286,0.0133
1,-7.68,-7.68,-0.0444,0.0132
1,-2.56,-7.68,-0.0601,0.0132
1,2.56,-7.68,-0.0758,0.0133
1,7.68,-7.68,-0.0912,0.0132
1,12.8,-7.68,-0.107,0.0134
1,17.92,-7.68,-0.1227,0.0134
1,-17.92,-2.56,-0.013,0.0285
1,-12.8,-2.56,-0.0288,0.0285
1,-7.68,-2.56,-0.0443,0.0285
1,-2.56,-2.56,-0.0601,0.0287
1,2.56,-2.56,-0.0757,0.0286
1,7.68,-2.56,-0.0914,0.0288
1,12.8,-2.56,-0.1072,0.0287
1,17.92,-2.56,-0.1228,0.0289
1,-17.92,2.56,-0.0132,0.0439
1,-12.8,2.56,-0.0286,0.044
1,-7.68,2.56,-0.0444,0.0439
1,-2.56,2.56,-0.0601,0.0441
1,2.56,2.56,-0.0758,0.044
1,7.68,2.56,-0.0915,0.044
1,12.8,2.56,-0.1072,0.0442
1,17.92,2.56,-0.1228,0.0443
1,-17.92,7.68,-0.0132,0.0593
1,-12.8,7.68,-0.0288,0.0593
1,-7.68,7.68,-0.0444,0.0593
1,-2.56,7.68,-0.0602,0.0593
1,2.56,7.68,-0.0759,0.0594
1,7.68,7.68,-0.0914,0.0594
1,12.8,7.68,-0.1072,0.0595
1,17.92,7.68,-0.1228,0.0596
1,-17.92,12.8,-0.0131,0.0747
1,-12.8,12.8,-0.0287,0.0746
1,-7.68,12.8,-0.0445,0.0748
1,-2.56,12.8,-0.0602,0.0747
1,2.56,12.8,-0.0759,0.0748
1,7.68,12.8,-0.0915,0.0749
1,12.8,12.8,-0.1072,0.075
1,17.92,12.8,-0.123,0.075
1,-17.92,17.92,-0.0129,0.0902
1,-12.8,17.92,-0.0286,0.0903
1,-7.68,17.92,-0.0446,0.0902
1,-2.56,17.92,-0.0602,0.0902
1,2.56,17.92,-0.0759,0.0904
1,7.68,17.92,-0.0916,0.0904
1,12.8,17.92,-0.1073,0.0904
1,17.92,17.92,-0.123,0.0905
2,-17.92,-17.92,-0.0131,-0.1625
2,-12.8,-17.92,-0.0287,-0.1624
2,-7.68,-17.92,-0.0441,-0.1623
2,-2.56,-17.92,-0.0597,-0.1623
2,2.56,-17.92,-0.0752,-0.1623
2,7.68,-17.92,-0.0907,-0.1622
2,12.8,-17.92,-0.1062,-0.1622
2,17.92,-17.92,-0.1218,-0.1621
2,-17.92,-12.8,-0.0131,-0.1475
2,-12.8,-12.8,-0.0286,-0.1475
2,-7.68,-12.8,-0.0442,-0.1475
2,-2.56,-12.8,-0.0596,-0.1474
2,2.56,-12.8,-0.0753,-0.1474
2,7.68,-12.8,-0.0906,-0.1473
2,12.8,-12.8,-0.1063,-0.1472
2,17.92,-12.8,-0.1219,-0.147
2,-17.92,-7.68,-0.0131,-0.1326
2,-12.8,-7.68,-0.0287,-0.1326
2,-7.68,-7.68,-0.0442,-0.1324
2,-2.56,-7.68,-0.0598,-0.1325
2,2.56,-7.68,-0.0753,-0.1324
2,7.68,-7.68,-0.0909,-0.1322
2,12.8,-7.68,-0.1065,-0.1323
2,17.92,-7.68,-0.122,-0.1321
2,-17.92,-2.56,-0.0131,-0.1176
2,-12.8,-2.56,-0.0287,-0.1175
2,-7.68,-2.56,-0.0444,-0.1175
2,-2.56,-2.56,-0.0599,-0.1173
2,2.56,-2.56,-0.0755,-0.1175
2,7.68,-2.56,-0.091,-0.1174
2,12.8,-2.56,-0.1064,-0.1172
2,17.92,-2.56,-0.122,-0.1171
2,-17.92,2.56,-0.0132,-0.1024
2,-12.8,2.56,-0.0286,-0.1025
